word;clarification;classification;endіngs;and;look;from;vars;but
Андрэ́;;;;;;André;;
Андрэ́а;;;;;;Andrea;;
Андрэ́й;;;;;;;;
А́нды;;;;;;;;
А́ндэрс;;;;;;Anders;;
А́ндэрсан;;;;;;Anderson;;
А́ндэрсанві́л;;;;;;Andersonville;;
Ане́га;;;;;;;;
Ане́гін;;;;;;;;
Анемпады́стаў;;;;;;;;
Анжалі́на;;;;;;;;
Аніке́йчык;;;;;;;;
Анімэ́кс;;;;;;;;
А́нічкін;;;;;;;;
Анічэ́нка;;;;;;;;
Ані́шчанка;;;;;;;;
Ані́шчык;;;;;;;;
Анкара́;;;;;;Ankara;;
Анры́;;;;;;Henri;;
Антако́льскі;;;;;;;;
Антана́вічус;;;;;;Antanavičius;;
Анта́нас;;;;;;Antanas;;
Антаніё́ні;;;;;;Antonioni;;
Анта́нта;;;;;;;;
Анта́рыё;;;;;;Ontario;;
Антвэ́рпэн;;;;;;Antwerpen;;
Анто́каль;;;;;;;;
Анто́н;;;;;;;;
Анто́ні;;;;;;;;
Анто́ніё;;;;;;Antonio;;
Анто́сь;;;;;;;;
Антыґо́на;;;;;;Antigone;;
Анты́ґуа;;;;;;Antigua;;
Антыё́х;;;;;;;;
Анты́хрыст;;;-та;;;;;
Антэ́й;;;;;;;;
Ану́фрыеўскі;;;;;;;;
Анці́пенка;;;;;;;;
Анцуке́віч;;;;;;;;
Анча́раў;;;;;;;;
А́нчыц;;;;;;;;
Анышке́віч;;;;;;;;
Анэ́ля;;;;;;;;
Анэ́та;;;;;;;;
Апалё́н;;;;;;;;
Апалінэ́р;;;;;;Appolinaire;;
Апана́с;;;;;;;;
Апа́нскі;;;;;;;;
А́пдайк;;;;;;Updike;;
Апо́чка;;;;;;;;
Апшэро́н;;;;;;;;
Апэні́ны;;;;;;;;
Арабе́й;;;;;;;;
Ара́бія;;;;;;;;
Араґо́н;;;;;;Aragon;;
Ара́нія;;;;;;;;
Арара́т;;;;;;;;
Арбака́йтэ;;;;;;Orbakaitė;;
Арба́т;;;;;;;;
Арґенты́на;;;;;;;;
Арджанікі́дзэ;;;;;;;;
Арка́дзія;;;;;;;;
Арка́дзь;;;-дзя;;;;;
А́рктыка;;;;;;;;
Арле́н;;;;;;;;
Арлі́;;;;;;Orli;;
Арло́ў;;;;;;;;
Арло́ўскі;;;;;;;;
Армаґедо́н;;;;;;;;
Арма́нд;;;;;;;;
Армо́н;;;;;;;;
Армэ́нія;;;;;;;;армяні́н
Арно́льд;;;;;;;;
Аро́чка;;;;;;;;
Арсе́нь;;;;;;;;
Арсе́ньеў;;;;;;;;
Арсе́ньнева;;;;;;;;
Арсыно́я;;;;;;;;
Арсэно́я;;;;;;;;
Арту́р;;;;;;;;
Артымо́віч;;;;;;;;
Арфэ́й;;;;;;;;
Арха́нгельск;;;;;;;;
Архімэ́д;;;;;;;;
Арцё́м;;;;;;;;
Арцё́менка;;;;;;;;
